Protein ID,Protein names,Gene names,dirsign,BCC count,BCC proportion,SCC count,SCC proportion,Proportion_Test Rank,HG_Test Rank,Wilcoxon Rank,Minimal Rank
O75643, U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,UP,29.0,0.48333333333333334,27.0,0.42857142857142855,4955.5,4400.5,3123.5,3123.5
Q9ULV4, Coronin-1C,CORO1C,UP,42.0,0.7,44.0,0.6984126984126984,6535.5,6277.5,3469.0,3469.0
P01619, Immunoglobulin kappa variable 3-20,IGKV3-20,UP,53.0,0.8833333333333333,51.0,0.8095238095238095,3388.0,3127.0,4873.0,3127.0
P05455, Lupus La protein,SSB,UP,51.0,0.85,43.0,0.6825396825396826,1151.5,1101.5,134.0,134.0
Q13867, Bleomycin hydrolase,BLMH,UP,55.0,0.9166666666666666,54.0,0.8571428571428571,3590.5,3459.5,1905.0,1905.0
O43242, 26S proteasome non-ATPase regulatory subunit 3,PSMD3,UP,47.0,0.7833333333333333,39.0,0.6190476190476191,1523.0,1425.0,644.5,644.5
O43175, D-3-phosphoglycerate dehydrogenase,PHGDH,UP,45.0,0.75,26.0,0.4126984126984127,30.0,32.0,2.0,2.0
Q5D862, Filaggrin-2,FLG2,UP,58.0,0.9666666666666667,58.0,0.9206349206349206,3438.5,3605.0,2015.5,2015.5
P62910, 60S ribosomal protein L32,RPL32,UP,30.0,0.5,12.0,0.19047619047619047,47.5,53.5,67.0,47.5
Q08554, Desmocollin-1,DSC1,UP,56.0,0.9333333333333333,56.0,0.8888888888888888,4365.0,4140.5,2753.5,2753.5
Q6ZVX7, F-box only protein 50,NCCRP1,UP,53.0,0.8833333333333333,54.0,0.8571428571428571,5410.0,4969.0,5239.5,4969.0
P20674," Cytochrome c oxidase subunit 5A, mitochondrial",COX5A,UP,40.0,0.6666666666666666,36.0,0.5714285714285714,3479.5,3113.5,3665.0,3113.5
P62249, 40S ribosomal protein S16,RPS16,UP,44.0,0.7333333333333333,43.0,0.6825396825396826,4945.0,4416.0,3632.5,3632.5
Q99536, Synaptic vesicle membrane protein VAT-1 homolog,VAT1,UP,53.0,0.8833333333333333,50.0,0.7936507936507936,2939.0,2683.5,2478.5,2478.5
P26447, Protein S100-A4,S100A4,UP,57.0,0.95,52.0,0.8253968253968254,1162.0,1193.0,1538.0,1162.0
P41252," Isoleucine--tRNA ligase, cytoplasmic",IARS1,DOWN,30.0,0.5,34.0,0.5396825396825397,5401.5,4809.5,6269.0,4809.5
P13804," Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,DOWN,39.0,0.65,42.0,0.6666666666666666,5964.0,5572.5,6488.0,5572.5
P11498," Pyruvate carboxylase, mitochondrial",PC,DOWN,18.0,0.3,20.0,0.31746031746031744,5914.0,5559.0,5195.0,5195.0
Q14247, Src substrate cortactin,CTTN,UP,54.0,0.9,50.0,0.7936507936507936,2222.0,2085.0,2349.0,2085.0
P08708, 40S ribosomal protein S17,RPS17,UP,37.0,0.6166666666666667,18.0,0.2857142857142857,36.5,46.5,39.0,36.5
Q00796, Sorbitol dehydrogenase,SORD,UP,45.0,0.75,46.0,0.7301587301587301,5838.5,5365.5,3458.5,3458.5
P17066, Heat shock 70 kDa protein 6,HSPA6,UP,54.0,0.9,51.0,0.8095238095238095,2673.0,2533.0,3505.5,2533.0
O15143, Actin-related protein 2/3 complex subunit 1B,ARPC1B,UP,49.0,0.8166666666666667,46.0,0.7301587301587301,3338.5,3077.5,3768.0,3077.5
O75368, SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,UP,51.0,0.85,50.0,0.7936507936507936,4447.0,4007.5,2864.5,2864.5
Q92616, eIF-2-alpha kinase activator GCN1,GCN1,DOWN,27.0,0.45,44.0,0.6984126984126984,364.0,357.0,770.0,357.0
P61626, Lysozyme C,LYZ,UP,56.0,0.9333333333333333,56.0,0.8888888888888888,4365.0,4140.5,6135.0,4140.5
P30050, 60S ribosomal protein L12,RPL12,UP,50.0,0.8333333333333334,46.0,0.7301587301587301,2883.5,2545.5,1745.0,1745.0
P19367, Hexokinase-1,HK1,UP,25.0,0.4166666666666667,20.0,0.31746031746031744,3354.5,3039.5,3044.5,3039.5
P63167," Dynein light chain 1, cytoplasmic",DYNLL1,DOWN,44.0,0.7333333333333333,47.0,0.746031746031746,6027.5,5848.5,5265.0,5265.0
O76094, Signal recognition particle subunit SRP72,SRP72,UP,27.0,0.45,25.0,0.3968253968253968,4990.5,4421.5,3815.0,3815.0
P62847, 40S ribosomal protein S24,RPS24,UP,28.0,0.4666666666666667,17.0,0.2698412698412698,1011.5,941.5,461.0,461.0
P78347, General transcription factor II-I,GTF2I,UP,30.0,0.5,23.0,0.36507936507936506,2436.0,2182.5,981.0,981.0
P53634, Dipeptidyl peptidase 1,CTSC,UP,34.0,0.5666666666666667,26.0,0.4126984126984127,2094.0,1799.0,1420.0,1420.0
P61956, Small ubiquitin-related modifier 2,SUMO2,UP,52.0,0.8666666666666667,50.0,0.7936507936507936,3487.0,3240.0,2959.0,2959.0
P63010, AP-2 complex subunit beta,AP2B1,UP,49.0,0.8166666666666667,49.0,0.7777777777777778,5232.5,4725.5,5426.5,4725.5
P11766, Alcohol dehydrogenase class-3,ADH5,UP,49.0,0.8166666666666667,49.0,0.7777777777777778,5232.5,4725.5,2105.5,2105.5
P49773, Histidine triad nucleotide-binding protein 1,HINT1,DOWN,46.0,0.7666666666666667,49.0,0.7777777777777778,6060.0,5994.0,3761.5,3761.5
O15231, Zinc finger protein 185,ZNF185,UP,44.0,0.7333333333333333,44.0,0.6984126984126984,5421.0,4859.5,6302.5,4859.5
P04003, C4b-binding protein alpha chain,C4BPA,UP,45.0,0.75,40.0,0.6349206349206349,2888.0,2476.0,3429.0,2476.0
P01871, Immunoglobulin heavy constant mu,IGHM,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,3754.5,3707.0
P51149, Ras-related protein Rab-7a,RAB7A,UP,51.0,0.85,48.0,0.7619047619047619,3194.5,2851.5,6222.0,2851.5
P31146, Coronin-1A,CORO1A,UP,55.0,0.9166666666666666,53.0,0.8412698412698413,3102.5,2868.5,4326.0,2868.5
P60866, 40S ribosomal protein S20,RPS20,UP,49.0,0.8166666666666667,41.0,0.6507936507936508,1358.5,1252.5,1696.5,1252.5
Q5SY68, Protein S100-A7-like 2,S100A7L2,DOWN,7.0,0.11666666666666667,9.0,0.14285714285714285,5414.5,4969.0,5155.5,4969.0
P68366, Tubulin alpha-4A chain,TUBA4A,DOWN,50.0,0.8333333333333334,53.0,0.8412698412698413,6126.0,6158.0,5195.0,5195.0
P12277, Creatine kinase B-type,CKB,UP,53.0,0.8833333333333333,45.0,0.7142857142857143,918.5,880.5,889.0,880.5
P41250, Glycine--tRNA ligase,GARS1,UP,33.0,0.55,24.0,0.38095238095238093,1707.5,1518.0,647.0,647.0
P28331," NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,UP,29.0,0.48333333333333334,23.0,0.36507936507936506,2982.5,2590.5,1588.5,1588.5
P01042, Kininogen-1,KNG1,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,3260.0,3260.0
P17858," ATP-dependent 6-phosphofructokinase, liver type",PFKL,UP,46.0,0.7666666666666667,41.0,0.6507936507936508,2694.5,2359.5,2037.0,2037.0
P16144, Integrin beta-4,ITGB4,UP,40.0,0.6666666666666666,37.0,0.5873015873015873,4265.0,3474.0,5064.5,3474.0
P42224, Signal transducer and activator of transcription 1-alpha/beta,STAT1,UP,44.0,0.7333333333333333,46.0,0.7301587301587301,6409.5,6257.5,2211.5,2211.5
Q99729, Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,UP,42.0,0.7,21.0,0.3333333333333333,16.0,20.0,8.0,8.0
Q9Y2X3, Nucleolar protein 58,NOP58,UP,19.0,0.31666666666666665,18.0,0.2857142857142857,5602.0,4941.5,4232.0,4232.0
P62195, 26S proteasome regulatory subunit 8,PSMC5,UP,47.0,0.7833333333333333,49.0,0.7777777777777778,6248.5,6218.0,2582.0,2582.0
P84103, Serine/arginine-rich splicing factor 3,SRSF3,UP,49.0,0.8166666666666667,43.0,0.6825396825396826,2029.5,1927.0,1207.0,1207.0
P04439," HLA class I histocompatibility antigen, A alpha chain",HLA-A,UP,37.0,0.6166666666666667,26.0,0.4126984126984127,1015.5,927.5,421.0,421.0
P62277, 40S ribosomal protein S13,RPS13,UP,37.0,0.6166666666666667,31.0,0.49206349206349204,2879.5,2414.5,2329.5,2329.5
Q14978, Nucleolar and coiled-body phosphoprotein 1,NOLC1,UP,30.0,0.5,15.0,0.23809523809523808,212.0,215.0,95.5,95.5
P08729," Keratin, type II cytoskeletal 7",KRT7,UP,51.0,0.85,42.0,0.6666666666666666,845.5,808.5,215.0,215.0
P24752," Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,UP,29.0,0.48333333333333334,20.0,0.31746031746031744,1712.5,1537.5,525.0,525.0
P20073, Annexin A7,ANXA7,UP,51.0,0.85,51.0,0.8095238095238095,4995.0,4662.0,5039.5,4662.0
P45974, Ubiquitin carboxyl-terminal hydrolase 5,USP5,UP,51.0,0.85,43.0,0.6825396825396826,1151.5,1101.5,548.0,548.0
P22234, Multifunctional protein ADE2,PAICS,UP,52.0,0.8666666666666667,50.0,0.7936507936507936,3487.0,3240.0,3644.5,3240.0
O43399, Tumor protein D54,TPD52L2,UP,44.0,0.7333333333333333,43.0,0.6825396825396826,4945.0,4416.0,3325.0,3325.0
Q9UMD9, Collagen alpha-1(XVII) chain,COL17A1,DOWN,40.0,0.6666666666666666,42.0,0.6666666666666666,6824.0,6317.0,950.0,950.0
Q9NY33, Dipeptidyl peptidase 3,DPP3,UP,50.0,0.8333333333333334,46.0,0.7301587301587301,2883.5,2545.5,2770.5,2545.5
Q8NF91, Nesprin-1,SYNE1,UP,24.0,0.4,8.0,0.12698412698412698,75.0,77.0,217.5,75.0
P00734, Prothrombin,F2,UP,52.0,0.8666666666666667,49.0,0.7777777777777778,3074.0,2774.0,1809.5,1809.5
Q03252, Lamin-B2,LMNB2,UP,52.0,0.8666666666666667,50.0,0.7936507936507936,3487.0,3240.0,1142.0,1142.0
P23381," Tryptophan--tRNA ligase, cytoplasmic",WARS1,UP,49.0,0.8166666666666667,51.0,0.8095238095238095,6178.5,6184.5,2840.0,2840.0
P17302, Gap junction alpha-1 protein,GJA1,UP,27.0,0.45,16.0,0.25396825396825395,991.0,921.0,811.0,811.0
P05198, Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,UP,39.0,0.65,35.0,0.5555555555555556,3499.0,3121.5,5139.5,3121.5
Q9UL46, Proteasome activator complex subunit 2,PSME2,UP,42.0,0.7,31.0,0.49206349206349204,878.5,810.5,239.0,239.0
Q6DD88, Atlastin-3,ATL3,DOWN,29.0,0.48333333333333334,33.0,0.5238095238095238,5392.0,4807.0,6527.5,4807.0
O95274, Ly6/PLAUR domain-containing protein 3,LYPD3,DOWN,28.0,0.4666666666666667,43.0,0.6825396825396826,780.5,706.5,370.5,370.5
Q9H4A4, Aminopeptidase B,RNPEP,UP,50.0,0.8333333333333334,46.0,0.7301587301587301,2883.5,2545.5,1247.0,1247.0
P51665, 26S proteasome non-ATPase regulatory subunit 7,PSMD7,UP,31.0,0.5166666666666667,25.0,0.3968253968253968,2968.0,2574.0,2056.5,2056.5
P68036, Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,DOWN,43.0,0.7166666666666667,48.0,0.7619047619047619,5099.0,4596.0,4613.0,4596.0
P04899, Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,4338.5,3707.0
P07099, Epoxide hydrolase 1,EPHX1,UP,35.0,0.5833333333333334,26.0,0.4126984126984127,1663.0,1508.0,544.5,544.5
Q01813," ATP-dependent 6-phosphofructokinase, platelet type",PFKP,UP,48.0,0.8,36.0,0.5714285714285714,424.0,404.0,1257.0,404.0
Q14166, Tubulin--tyrosine ligase-like protein 12,TTLL12,UP,38.0,0.6333333333333333,36.0,0.5714285714285714,4721.5,4162.5,1898.5,1898.5
P48444, Coatomer subunit delta,ARCN1,UP,44.0,0.7333333333333333,42.0,0.6666666666666666,4472.5,3931.5,1670.5,1670.5
P00352, Retinal dehydrogenase 1,ALDH1A1,UP,51.0,0.85,49.0,0.7777777777777778,3774.0,3311.0,3065.5,3065.5
O75891, Cytosolic 10-formyltetrahydrofolate dehydrogenase,ALDH1L1,UP,16.0,0.26666666666666666,8.0,0.12698412698412698,1578.0,1485.0,1433.0,1433.0
Q13435, Splicing factor 3B subunit 2,SF3B2,UP,34.0,0.5666666666666667,31.0,0.49206349206349204,4424.0,3719.0,3080.5,3080.5
P02792, Ferritin light chain,FTL,UP,53.0,0.8833333333333333,52.0,0.8253968253968254,4273.0,3707.0,2291.0,2291.0
Q16851, UTP--glucose-1-phosphate uridylyltransferase,UGP2,UP,52.0,0.8666666666666667,49.0,0.7777777777777778,3074.0,2774.0,1753.5,1753.5
Q92598, Heat shock protein 105 kDa,HSPH1,UP,46.0,0.7666666666666667,44.0,0.6984126984126984,4394.5,3715.0,4481.0,3715.0
P21281," V-type proton ATPase subunit B, brain isoform",ATP6V1B2,DOWN,47.0,0.7833333333333333,50.0,0.7936507936507936,6073.0,6053.5,4567.5,4567.5
P23396, 40S ribosomal protein S3,RPS3,UP,51.0,0.85,46.0,0.7301587301587301,2235.5,2052.5,1197.0,1197.0
Q9UMS4, Pre-mRNA-processing factor 19,PRPF19,DOWN,27.0,0.45,31.0,0.49206349206349204,5351.5,4781.5,5265.0,4781.5
Q04446," 1,4-alpha-glucan-branching enzyme",GBE1,UP,42.0,0.7,37.0,0.5873015873015873,3051.5,2667.5,1269.5,1269.5
P13987, CD59 glycoprotein,CD59,UP,29.0,0.48333333333333334,24.0,0.38095238095238093,3330.5,3001.5,2060.5,2060.5
P61224, Ras-related protein Rap-1b; Ras-related protein Rap-1b-like protein,RAP1B;-,UP,42.0,0.7,42.0,0.6666666666666666,5542.5,4902.5,2895.5,2895.5
Q15019, Septin-2,SEPTIN2,UP,49.0,0.8166666666666667,41.0,0.6507936507936508,1358.5,1252.5,1635.5,1252.5
P35637, RNA-binding protein FUS,FUS,UP,44.0,0.7333333333333333,42.0,0.6666666666666666,4472.5,3931.5,1601.0,1601.0
Q9Y678, Coatomer subunit gamma-1,COPG1,UP,41.0,0.6833333333333333,36.0,0.5714285714285714,3088.0,2691.5,4069.0,2691.5
O95202, Mitochondrial proton/calcium exchanger protein,LETM1,UP,15.0,0.25,14.0,0.2222222222222222,5671.5,4997.5,6012.0,4997.5
O60911, Cathepsin L2,CTSV,DOWN,27.0,0.45,32.0,0.5079365079365079,4826.5,4264.5,2394.0,2394.0
P43686, 26S proteasome regulatory subunit 6B,PSMC4,UP,44.0,0.7333333333333333,39.0,0.6190476190476191,2930.0,2550.0,2703.0,2550.0
Q9NTX5, Ethylmalonyl-CoA decarboxylase,ECHDC1,UP,34.0,0.5666666666666667,33.0,0.5238095238095238,5329.5,4744.0,2969.5,2969.5
Q9H299, SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,UP,43.0,0.7166666666666667,30.0,0.47619047619047616,443.0,411.0,285.0,285.0
P04004, Vitronectin,VTN,UP,53.0,0.8833333333333333,48.0,0.7619047619047619,1901.0,1806.0,2485.5,1806.0
P08727," Keratin, type I cytoskeletal 19",KRT19,UP,54.0,0.9,50.0,0.7936507936507936,2222.0,2085.0,1420.0,1420.0
P62191, 26S proteasome regulatory subunit 4,PSMC1,UP,42.0,0.7,40.0,0.6349206349206349,4650.0,4037.0,4503.5,4037.0
P42677, 40S ribosomal protein S27,RPS27,UP,44.0,0.7333333333333333,36.0,0.5714285714285714,1676.5,1526.5,1188.5,1188.5
P12270, Nucleoprotein TPR,TPR,UP,41.0,0.6833333333333333,42.0,0.6666666666666666,5951.5,5581.5,2989.0,2989.0
Q9UHB6, LIM domain and actin-binding protein 1,LIMA1,UP,38.0,0.6333333333333333,39.0,0.6190476190476191,6021.5,5616.5,3786.5,3786.5
P36542," ATP synthase subunit gamma, mitochondrial",ATP5F1C,UP,31.0,0.5166666666666667,25.0,0.3968253968253968,2968.0,2574.0,1869.5,1869.5
P35606, Coatomer subunit beta,COPB2,UP,39.0,0.65,24.0,0.38095238095238093,235.0,226.0,109.0,109.0
Q9NYU2, UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,DOWN,25.0,0.4166666666666667,29.0,0.4603174603174603,5313.5,4737.5,6302.5,4737.5
Q15393, Splicing factor 3B subunit 3,SF3B3,UP,34.0,0.5666666666666667,33.0,0.5238095238095238,5329.5,4744.0,3364.5,3364.5
P38919, Eukaryotic initiation factor 4A-III,EIF4A3,UP,38.0,0.6333333333333333,28.0,0.4444444444444444,1297.0,1184.0,987.5,987.5
O00231, 26S proteasome non-ATPase regulatory subunit 11,PSMD11,UP,52.0,0.8666666666666667,48.0,0.7619047619047619,2483.5,2309.5,2895.5,2309.5
Q14203, Dynactin subunit 1,DCTN1,UP,39.0,0.65,29.0,0.4603174603174603,1284.5,1164.5,510.0,510.0
Q01995, Transgelin,TAGLN,UP,54.0,0.9,46.0,0.7301587301587301,787.0,767.0,95.5,95.5
Q02543, 60S ribosomal protein L18a,RPL18A,UP,41.0,0.6833333333333333,33.0,0.5238095238095238,1803.5,1638.0,1645.0,1638.0
Q9UJ70, N-acetyl-D-glucosamine kinase,NAGK,UP,52.0,0.8666666666666667,43.0,0.6825396825396826,755.5,735.5,3761.5,735.5
P62942, Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,UP,52.0,0.8666666666666667,52.0,0.8253968253968254,4852.0,4509.5,5195.0,4509.5
Q14764, Major vault protein,MVP,DOWN,48.0,0.8,52.0,0.8253968253968254,5700.0,5038.0,928.0,928.0
P49207, 60S ribosomal protein L34,RPL34,UP,43.0,0.7166666666666667,41.0,0.6507936507936508,4539.0,3970.0,2442.0,2442.0
Q92522, Histone H1.10,H1-10,UP,36.0,0.6,37.0,0.5873015873015873,6064.0,5840.5,3140.0,3140.0
Q15063, Periostin OS=Homo sapiens (Human) OX=9606 GN=,POSTN,UP,51.0,0.85,47.0,0.746031746031746,2624.0,2410.0,1149.0,1149.0
P36776," Lon protease homolog, mitochondrial",LONP1,UP,11.0,0.18333333333333332,5.0,0.07936507936507936,2017.5,2006.5,2117.0,2006.5
P20618, Proteasome subunit beta type-1,PSMB1,DOWN,51.0,0.85,54.0,0.8571428571428571,6156.0,6206.5,5239.5,5239.5
P31939, Bifunctional purine biosynthesis protein PURH,ATIC,UP,47.0,0.7833333333333333,47.0,0.746031746031746,5319.5,4803.0,3835.0,3835.0
P29590, Protein PML,PML,UP,36.0,0.6,26.0,0.4126984126984127,1350.5,1219.5,1188.5,1188.5
P62879, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,UP,52.0,0.8666666666666667,51.0,0.8095238095238095,4380.5,3888.5,1846.5,1846.5
P14555," Phospholipase A2, membrane associated",PLA2G2A,UP,10.0,0.16666666666666666,7.0,0.1111111111111111,4339.5,3850.5,3815.0,3815.0
P29966, Myristoylated alanine-rich C-kinase substrate,MARCKS,UP,50.0,0.8333333333333334,47.0,0.746031746031746,3252.0,2985.5,3802.0,2985.5
P21964, Catechol O-methyltransferase,COMT,DOWN,43.0,0.7166666666666667,46.0,0.7301587301587301,6013.0,5834.0,3130.5,3130.5
Q7L576, Cytoplasmic FMR1-interacting protein 1,CYFIP1,UP,34.0,0.5666666666666667,28.0,0.4444444444444444,2927.0,2499.0,2604.5,2499.0
P63220, 40S ribosomal protein S21,RPS21,UP,42.0,0.7,24.0,0.38095238095238093,61.5,61.5,74.0,61.5
P04632, Calpain small subunit 1,CAPNS1,UP,38.0,0.6333333333333333,28.0,0.4444444444444444,1297.0,1184.0,510.0,510.0
P28072, Proteasome subunit beta type-6,PSMB6,UP,53.0,0.8833333333333333,53.0,0.8412698412698413,4758.0,4428.0,3853.5,3853.5
P08559," Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",PDHA1,DOWN,28.0,0.4666666666666667,33.0,0.5238095238095238,4847.5,4281.5,4153.0,4153.0
P61163, Alpha-centractin,ACTR1A,DOWN,40.0,0.6666666666666666,45.0,0.7142857142857143,5102.5,4540.5,3344.0,3344.0
Q15828, Cystatin-M,CST6,UP,42.0,0.7,43.0,0.6825396825396826,5919.0,5564.0,6198.5,5564.0
P63000, Ras-related C3 botulinum toxin substrate 1,RAC1,UP,51.0,0.85,50.0,0.7936507936507936,4447.0,4007.5,3711.0,3711.0
Q9HCY8, Protein S100-A14,S100A14,UP,51.0,0.85,48.0,0.7619047619047619,3194.5,2851.5,4447.5,2851.5
P98160, Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,UP,46.0,0.7666666666666667,45.0,0.7142857142857143,4789.5,4274.0,5664.0,4274.0
P17844, Probable ATP-dependent RNA helicase DDX5,DDX5,UP,32.0,0.5333333333333333,22.0,0.3492063492063492,1435.0,1269.0,333.5,333.5
Q7Z6Z7, E3 ubiquitin-protein ligase HUWE1,HUWE1,UP,38.0,0.6333333333333333,35.0,0.5555555555555556,4349.5,3646.5,3704.5,3646.5
Q9BS26, Endoplasmic reticulum resident protein 44,ERP44,UP,43.0,0.7166666666666667,43.0,0.6825396825396826,5457.5,4875.5,4716.5,4716.5
Q9BUF5, Tubulin beta-6 chain,TUBB6,UP,47.0,0.7833333333333333,39.0,0.6190476190476191,1523.0,1425.0,1963.5,1425.0
Q15366, Poly(rC)-binding protein 2,PCBP2,UP,44.0,0.7333333333333333,38.0,0.6031746031746031,2395.5,2150.5,1359.0,1359.0
Q9NR30, Nucleolar RNA helicase 2,DDX21,UP,30.0,0.5,28.0,0.4444444444444444,4950.5,4371.5,5363.5,4371.5
P01040, Cystatin-A,CSTA,UP,57.0,0.95,55.0,0.873015873015873,2480.5,2483.5,588.5,588.5
P35321, Cornifin-A,SPRR1A,DOWN,39.0,0.65,47.0,0.746031746031746,3299.0,2998.0,55.5,55.5
Q02818, Nucleobindin-1,NUCB1,DOWN,48.0,0.8,51.0,0.8095238095238095,6100.0,6084.0,4873.0,4873.0
P35749, Myosin-11,MYH11,UP,49.0,0.8166666666666667,33.0,0.5238095238095238,76.5,76.0,10.0,10.0
Q13085, Acetyl-CoA carboxylase 1,ACACA,UP,33.0,0.55,22.0,0.3492063492063492,1090.0,1004.0,804.5,804.5
P24298, Alanine aminotransferase 1,GPT,UP,20.0,0.3333333333333333,14.0,0.2222222222222222,2892.0,2496.0,1869.5,1869.5
O00204, Sulfotransferase 2B1,SULT2B1,DOWN,22.0,0.36666666666666664,30.0,0.47619047619047616,3198.0,2788.0,1269.5,1269.5
Q9UJU6, Drebrin-like protein,DBNL,UP,52.0,0.8666666666666667,54.0,0.8571428571428571,6047.5,6133.5,2631.5,2631.5
P28066, Proteasome subunit alpha type-5,PSMA5,UP,55.0,0.9166666666666666,53.0,0.8412698412698413,3102.5,2868.5,5312.0,2868.5
P09488, Glutathione S-transferase Mu 1,GSTM1,UP,43.0,0.7166666666666667,37.0,0.5873015873015873,2461.5,2267.5,801.0,801.0
Q92597, Protein NDRG1,NDRG1,UP,50.0,0.8333333333333334,49.0,0.7777777777777778,4560.0,4131.0,3853.5,3853.5
Q9UHQ9, NADH-cytochrome b5 reductase 1,CYB5R1,DOWN,15.0,0.25,17.0,0.2698412698412698,5843.5,5365.5,4778.0,4778.0
Q15075, Early endosome antigen 1,EEA1,UP,49.0,0.8166666666666667,38.0,0.6031746031746031,550.0,535.0,692.5,535.0
P17900, Ganglioside GM2 activator,GM2A,UP,42.0,0.7,43.0,0.6825396825396826,5919.0,5564.0,3942.5,3942.5
P11166," Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,UP,46.0,0.7666666666666667,45.0,0.7142857142857143,4789.5,4274.0,4454.0,4274.0
Q5VT79, Annexin A8-like protein 1,ANXA8L1,DOWN,46.0,0.7666666666666667,52.0,0.8253968253968254,4469.0,3975.0,1237.0,1237.0
P09110," 3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,UP,23.0,0.38333333333333336,19.0,0.30158730158730157,4208.0,3433.0,3052.0,3052.0
Q9UKM9, RNA-binding protein Raly,RALY,UP,36.0,0.6,27.0,0.42857142857142855,1644.5,1503.5,869.0,869.0
Q04760, Lactoylglutathione lyase,GLO1,UP,51.0,0.85,52.0,0.8253968253968254,5626.5,5060.5,2849.5,2849.5
Q16698," 2,4-dienoyl-CoA reductase, mitochondrial",DECR1,UP,40.0,0.6666666666666666,41.0,0.6507936507936508,5978.0,5595.0,5064.5,5064.5
O60763, General vesicular transport factor p115,USO1,UP,41.0,0.6833333333333333,34.0,0.5396825396825397,2218.0,2016.0,1393.5,1393.5
P49588," Alanine--tRNA ligase, cytoplasmic",AARS1,UP,37.0,0.6166666666666667,24.0,0.38095238095238093,524.0,500.0,140.0,140.0
P09758, Tumor-associated calcium signal transducer 2,TACSTD2,DOWN,12.0,0.2,21.0,0.3333333333333333,2162.0,1972.5,1130.5,1130.5
P23490, Loricrin,LORICRIN,UP,43.0,0.7166666666666667,32.0,0.5079365079365079,829.0,794.0,184.0,184.0
P48147, Prolyl endopeptidase,PREP,UP,47.0,0.7833333333333333,46.0,0.7301587301587301,4747.0,4253.5,1094.0,1094.0
Q9Y277, Voltage-dependent anion-selective channel protein 3,VDAC3,UP,25.0,0.4166666666666667,26.0,0.4126984126984127,6398.5,6197.5,4365.5,4365.5
Q9NTK5, Obg-like ATPase 1,OLA1,UP,38.0,0.6333333333333333,26.0,0.4126984126984127,729.0,668.0,229.0,229.0
O95831," Apoptosis-inducing factor 1, mitochondrial",AIFM1,UP,23.0,0.38333333333333336,21.0,0.3333333333333333,5052.5,4490.0,3364.5,3364.5
P49755, Transmembrane emp24 domain-containing protein 10,TMED10,UP,45.0,0.75,44.0,0.6984126984126984,4839.0,4366.0,4261.0,4261.0
O15371, Eukaryotic translation initiation factor 3 subunit D,EIF3D,UP,29.0,0.48333333333333334,24.0,0.38095238095238093,3330.5,3001.5,2974.5,2974.5
Q9BUJ2, Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,UP,41.0,0.6833333333333333,27.0,0.42857142857142855,327.0,320.0,198.5,198.5
P05141, ADP/ATP translocase 2,SLC25A5,DOWN,28.0,0.4666666666666667,36.0,0.5714285714285714,3297.0,2915.5,2650.0,2650.0
Q6NVY1," 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,UP,28.0,0.4666666666666667,20.0,0.31746031746031744,2128.5,1880.5,1315.0,1315.0
P30085, UMP-CMP kinase,CMPK1,UP,48.0,0.8,47.0,0.746031746031746,4708.0,4176.5,3201.0,3201.0
Q8N163, Cell cycle and apoptosis regulator protein 2,CCAR2,UP,31.0,0.5166666666666667,31.0,0.49206349206349204,5797.5,5147.5,5195.0,5147.5
P17655, Calpain-2 catalytic subunit,CAPN2,UP,42.0,0.7,35.0,0.5555555555555556,2195.5,1968.5,3052.0,1968.5
Q07960, Rho GTPase-activating protein 1,ARHGAP1,UP,48.0,0.8,46.0,0.7301587301587301,4258.5,3625.5,2674.0,2674.0
P30048," Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,DOWN,41.0,0.6833333333333333,44.0,0.6984126984126984,5984.0,5602.0,4801.5,4801.5
Q71DI3, Histone H3.2,H3C15,UP,5.0,0.08333333333333333,3.0,0.047619047619047616,4489.0,4386.0,4481.0,4386.0
Q9Y262, Eukaryotic translation initiation factor 3 subunit L,EIF3L,UP,33.0,0.55,20.0,0.31746031746031744,539.5,518.5,396.0,396.0
